"","Profile","Family","Collection_Date","Location","Tree_Loss_.","Fire","Flood","Anthro_Activity","Av_temp_high","Av_temp_low","Precipitation","Elevation","Plant_SR"
"1","2","Verbenaceae",NA,"CNARP, Antananrivo",20,1596,1,1,24.7,14,1437,"1280","4231"
"2","3","Verbenaceae",NA,"the Butterfly House, Trädgårdsföreningen, Göteborg",17,0,1,NA,12.5,6,874.8,"12","1797"
"3","4","Verbenaceae",NA,"Dehra Dun Valley, North India",0.77,92,1,1,28,15.6,2183.5,"652","3723"
"4","5","Verbenaceae",NA,"Kukrail Reserved Forest, Lucknow",0,353,0,0,32,18.6,917.3,"123","3723"
"5","6","Verbenaceae",NA,"Kukrail Reserved Forest, Lucknow",0,353,0,0,32,18.6,917.3,"123","3723"
"6","7","Verbenaceae",NA,"Dezful (Khuzistan Province, South Iran)",0.28,2971,0,1,32.1,15.6,384.4,"150","1523"
"7","8","Verbenaceae",NA,"Kukrail Reserved Forest, Lucknow",0,353,0,0,32,18.6,917.3,"123","3723"
"8","9","Verbenaceae",NA,"Kukrail Reserved Forest, Lucknow",0,353,0,0,32,18.6,917.3,"123","3723"
"9","10","Verbenaceae",NA,"University of Ibadan Botanic Gardens ",12,371,1,1,30.8,21.5,1233,"230","1640"
"10","11","Verbenaceae",NA,"South China Agricultural University Campus, Guangzhou",19,85,1,1,26.3,18.9,1736.1,"21","5702"
"11","12","Verbenaceae",NA,"Brejo da Madre de Deus, Pernambuco mountain forests ",1,558,1,0,26.5,17.2,675,"740","6772"
"12","13","Verbenaceae",NA,"Kukrail Reserved Forest, Lucknow",0,353,0,0,32,18.6,917.3,"123","3723"
"13","14","Verbenaceae",NA,"The university of sciences and techology botanic gardens, algiers",5.6,6,0,1,23.7,11.9,91.7,"424","1313"
"14","15","Verbenaceae",2018,"Small Aromatic and Medicinal Plants Garden of the Natural Products Research Laboratory (LPPN), University Regional do Cariri (URCA), Crato, Ceara state",10,1702,1,1,29.7,23.4,1608.4,"422","610"
"15","16","Verbenaceae",2018,"Small Aromatic and Medicinal Plants Garden of the Natural Products Research Laboratory (LPPN), University Regional do Cariri (URCA), Crato, Ceara state",10,1702,1,1,29.7,23.4,1608.4,"422","610"
"16","17","Verbenaceae",2018,"Small Aromatic and Medicinal Plants Garden of the Natural Products Research Laboratory (LPPN), University Regional do Cariri (URCA), Crato, Ceara state",10,1702,1,1,29.7,23.4,1608.4,"422","610"
"17","18","Verbenaceae",2018,"Small Aromatic and Medicinal Plants Garden of the Natural Products Research Laboratory (LPPN), University Regional do Cariri (URCA), Crato, Ceara state",10,1702,1,1,29.7,23.4,1608.4,"422","610"
"18","19","Verbenaceae",2018,"Small Aromatic and Medicinal Plants Garden of the Natural Products Research Laboratory (LPPN), University Regional do Cariri (URCA), Crato, Ceara state",10,1702,1,1,29.7,23.4,1608.4,"422","610"
"19","20","Verbenaceae",2018,"Small Aromatic and Medicinal Plants Garden of the Natural Products Research Laboratory (LPPN), University Regional do Cariri (URCA), Crato, Ceara state",10,1702,1,1,29.7,23.4,1608.4,"422","610"
"20","21","Verbenaceae",1998,"University of Ngaoundre Garden, Adamaoua plateau",2.7,1503,1,1,29,15.2,1496.7,"1212","386"
"21","22","Verbenaceae",NA,"Proimpex Agro Industries, Antananarivo",20,1596,1,1,24.7,14,1437,"1280","4231"
"22","23","Verbenaceae",NA,"Experimental Plantation, Havana",8.1,26,0,1,28.8,21.6,1189,"59","2687"
"23","24","Verbenaceae",NA,"Antoniadis Garden, Horticultural Research Institute, Alexandria, Egypt",1.4,11,1,1,24.9,15.8,195.9,"5","853"
"24","25","Verbenaceae",NA,"Antoniadis Garden, Horticultural Research Institute, Alexandria, Egypt",1.4,11,1,1,24.9,15.8,195.9,"5","853"
"25","26","Verbenaceae",2011,"Ghaziabad",1.2,353,0,1,28.2,8.6,762.3,"214","283"
"26","27","Verbenaceae",2011,"Ramin Agriculture and Natural Resources University, Khuzestan province",0.28,2971,0,1,32.3,17.7,209.2,"17","295"
"27","28","Verbenaceae",NA,"Lagos State University campus, Lagos",16,28,1,1,30.8,22.8,104.3,"41","1640"
"28","29","Verbenaceae",NA,"University of Ibadan Botanic Gardena",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","30","Verbenaceae",NA,"Abomey-Calavi, south Benin",45,31,0,1,31,24,1300,"54","1751"
"30","31","Verbenaceae",2010,"Rubio, Táchira State",6.4,66,0,1,26,17,NA,"835","439"
"31","32","Verbenaceae",2007,"Palampur",0.34,61,0,1,21.1,12,2493,NA,"301"
"32","33","Myrtaceae",1999,"sydney to selection flat",13,3717,NA,1,22.8,14.7,1213.4,NA,"412"
"33","34","Myrtaceae",1999,"East coast Austrialia",9.4,NA,NA,NA,NA,NA,NA,NA,"412"
"34","35","Myrtaceae",2003,"Variety of Locations in New Caledonia",1.6,41,1,1,26,20.3,1071.5,"0-1628","209"
"35","36","Myrtaceae",NA,"South Florida, Chemotype Viridiflorol",25,902,1,1,29.1,21.1,1572,"< 5m","5329"
"36","37","Myrtaceae",NA,"South Florida, Chemotype E-nerolidol",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","38","Myrtaceae",NA,"Hallam - Austrailian Botanical Products",NA,NA,NA,0,NA,NA,NA,NA,"3438"
"38","39","Myrtaceae",NA,"Hallam - Austrailian Botanical Products",NA,NA,NA,0,NA,NA,NA,NA,"3438"
"39","40","Myrtaceae",NA,"Seme corss-road and Porto-Novo bridge, south Benin, chemotype viridiflorol",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","41","Myrtaceae",NA,"Eastern Madagascar, Chemotype 1,8-cineole (Toamasina, Mananjary, Manakara, Farafangana, Vangaindrano,
 Moramanga, and Ambatondrazaka)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","42","Myrtaceae",NA,"Eastern Madagascar, Chemotype viridiflorol (Toamasina, Mananjary, Manakara, Farafangana, Vangaindrano,
 Moramanga, and Ambatondrazaka)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","43","Myrtaceae",NA,"Eastern Madagascar, Chemotype E-nerolidol (Toamasina, Mananjary, Manakara, Farafangana, Vangaindrano,
 Moramanga, and Ambatondrazaka)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","44","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4231"
"44","45","Myrtaceae",1999,"Marakkanam area, Chennai",2,205,1,1,33.1,24.8,1382.9,"14","305"
"45","46","Myrtaceae",1995,"Arizona State University Campus, state",12,3164,1,1,30.3,17.4,204,"331","596"
"46","47","Myrtaceae",1998,"Reunion Island",3.4,NA,NA,NA,NA,NA,NA,NA,"373"
"47","48","Myrtaceae",2004,"Pinar del Rio, West Cuba",8.9,87,1,1,29.8,20.3,1557,"61","330"
"48","49","Myrtaceae",2007,"University of Hawaii main campus, Honolulu",2.6,2,1,NA,29.1,21.6,434,"6","562"
"49","50","Myrtaceae",2006,"Atlantic Forest Coastal Dunes (restinga)",4,172,NA,1,27.3,21,1069.4,"0-8","667"
"50","51","Myrtaceae",2007,"Haapiti, Moorea Island",NA,0,1,NA,30.2,23.1,1687.7,"30","217"
"51","52","Myrtaceae",2012,"research orchard of Embrapa Clima Temperado, Pelotas, RS",8.4,729,0,1,23,14.1,1402.7,"7","659"
"52","53","Asteraceae",1997,"Rio Ave",0.31,0,0,1,28.9,21.8,884,"137","3"
"53","54","Asteraceae",2002,"Badgagry Lagos",16,28,1,1,30.8,22.8,104.3,"41","174"
"54","55","Asteraceae",NA,"Ecological Experimental Station of SouthChina Agricultural University, Guangzhou, South China",NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","57","Asteraceae",1991,"Campus of University of Science & Technology in Jumasi",17,944,1,1,30.7,21.5,1402.4,"250","111"
"56","58","Asteraceae",1986,"Suva",1.1,32,1,1,28.9,22.4,3023,"43","63"
"57","59","Asteraceae",1986,"Nadi",4.5,32,1,1,30.2,20.8,1826,"13","63"
"58","60","Asteraceae",1986,"Suva",1.1,32,1,1,28.9,22.4,3023,"43","63"
"59","61","Asteraceae",1986,"Nadi",4.5,32,1,1,30.2,20.8,1826,"13","63"
"60","62","Asteraceae",1986,"Suva",1.1,32,1,1,28.9,22.4,3023,"43","63"
"61","63","Asteraceae",1986,"Nadi",4.5,32,1,1,30.2,20.8,1826,"13","63"
"62","64","Asteraceae",1995,"Pakistan",0.98,1214,NA,1,NA,NA,NA,NA,"65"
"63","65","Asteraceae",2017,"Bobia village, west Ivory Coast",18,43,0,1,31,21.7,1406,"210","235"
"64","66","Asteraceae",2017,"Bobia village, west Ivory Coast",18,43,0,1,31,21.7,1406,"210","235"
"65","67","Asteraceae",2005,"Santa Terezinha, Santarem Novo",13,16654,0,0,32.9,23.5,205.2,"198","743"
"66","68","Asteraceae",2005,"Fortaleza, Santarem Novo",1,1702,1,1,30.1,23.6,1608.4,"21","743"
"67","69","Asteraceae",2007,"Campus of Museu Paraense Emilio Goeldi, Belem",13,16654,0,1,31.8,22.7,3084,"10","634"
"68","70","Asteraceae",1998,"Auvergne, central France",7.3,478,1,1,16,NA,589.9,"72","1547"
"69","71","Asteraceae",1995,"Cuba",NA,NA,NA,NA,NA,NA,NA,NA,"2808"
"70","72","Asteraceae",1999,"Dakal-e-Derazno, Golestan",0.45,0,0,0,19.1,4.7,566,"1203","1445"
"71","73","Asteraceae",NA,"Karaj, Tehran",0.24,0,0,1,20.4,10.5,429,"1200","1619"
"72","74","Asteraceae",NA,"Karaj, Tehran",0.24,0,0,1,20.4,10.5,429,"1200","568"
"73","75","Asteraceae",NA,"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,"203"
"74","76","Asteraceae",1997,"Estonia",NA,NA,NA,NA,NA,NA,NA,NA,"1635"
"75","77","Asteraceae",1997,"Estonia",NA,NA,NA,NA,NA,NA,NA,NA,"1422"
"76","78","Asteraceae",2003,"Iran",NA,NA,NA,NA,NA,NA,NA,NA,"568"
"77","79","Asteraceae",2003,"Iran",NA,NA,NA,NA,NA,NA,NA,NA,"1276"
"78","80","Asteraceae",2001,"Vilnius (Eastern Lithuania)",15,8,1,1,7.3,3.5,653.8,"112","748"
"79","81","Asteraceae",2001,"Vilnius (Eastern Lithuania)",15,8,1,1,7.3,3.5,653.8,"112","93"
"80","82","Asteraceae",2001,"Vilnius (Eastern Lithuania)",15,8,1,1,7.3,3.5,653.8,"112","835"
"81","83","Asteraceae",1997,"Estonia",NA,NA,NA,NA,NA,NA,NA,NA,"1422"
"82","84","Asteraceae",1997,"Estonia",NA,NA,NA,NA,NA,NA,NA,NA,"1422"
"83","85","Asteraceae",2003,"Iran",NA,NA,NA,NA,NA,NA,NA,NA,"558"
"84","86","Asteraceae",2003,"Iran",NA,NA,NA,NA,NA,NA,NA,NA,"1619"
"85","87","Asteraceae",2001,"Vilnius (Eastern Lithuania)",15,8,1,1,7.3,3.5,653.8,"112","73"
"86","88","Asteraceae",2001,"Vilnius (Eastern Lithuania)",15,8,1,1,7.3,3.5,653.8,"112","633"
"87","89","Asteraceae",2001,"Vilnius (Eastern Lithuania)",15,8,1,1,7.3,3.5,653.8,"112","748"
"88","90","Asteraceae",1997,"Estonia",NA,NA,NA,NA,NA,NA,NA,NA,"1308"
"89","91","Asteraceae",1997,"Estonia",NA,NA,NA,NA,NA,NA,NA,NA,"1286"
"90","92","Asteraceae",2005,"Villamassargia, Italy",NA,NA,0,1,21,11,427,"121","1886"
"91","93","Asteraceae",NA,"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,"329"
"92","94","Asteraceae",NA,"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,"329"
"93","95","Asteraceae",NA,"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,"353"
"94","96","Asteraceae",NA,"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,"91"
"95","97","Asteraceae",NA,"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,"353"
"96","98","Asteraceae",NA,"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,"835"
"97","99","Asteraceae",NA,"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,"835"
"98","100","Asteraceae",NA,"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,"835"
"99","101","Asteraceae",NA,"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,"329"
"100","102","Asteraceae",NA,"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,"329"
"101","103","Asteraceae",1998,"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,"285"
"102","104","Asteraceae",1998,"Tunisia (Bengardane)",13,207,0,1,27,15,126.9,"10.4","741"
"103","105","Asteraceae",1998,"Tunisia (Jerba)",13,207,0,1,25,16.5,202.5,"6","812"
"104","106","Asteraceae",1998,"Tunisia (Tataouine)",13,207,0,1,26.8,14.9,107.3,NA,"1288"
"105","107","Asteraceae",2004,"Iran",NA,NA,NA,NA,NA,NA,NA,NA,"1619"
"106","108","Asteraceae",2013,"Poland",NA,NA,NA,NA,NA,NA,NA,NA,"1732"
"107","109","Asteraceae",2013,"Poland",NA,NA,NA,NA,NA,NA,NA,NA,"1732"
"108","110","Asteraceae",2004,"Iran",NA,NA,NA,NA,NA,NA,NA,NA,"1619"
"109","111","Asteraceae",NA,"Tunisia",NA,NA,NA,NA,NA,NA,NA,NA,"1288"
"110","112","Asteraceae",2013,"Poland",NA,NA,NA,NA,NA,NA,NA,NA,"1732"
"111","113","Asteraceae",2013,"Poland",NA,NA,NA,NA,NA,NA,NA,NA,"1732"
"112","114","Asteraceae",2004,"Iran",NA,NA,NA,NA,NA,NA,NA,NA,"832"
"113","115","Asteraceae",2013,"Poland",NA,NA,NA,NA,NA,NA,NA,NA,"1732"
"114","164","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"115","165","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"116","166","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"117","167","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"118","168","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"119","169","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"120","170","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"121","171","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"122","172","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"123","173","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"124","174","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"125","175","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"126","176","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"127","177","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"128","178","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"129","179","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"130","180","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"131","181","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"132","182","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"133","183","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"134","184","Myrtaceae",2014,"Magoebaskloof, South Africa",25,1691,1,0,24.7,11.7,478,"1221","6216"
"135","271","Myrtaceae",2010,"Saudi Arabia",NA,NA,NA,NA,NA,NA,NA,NA,"823"
"136","272","Myrtaceae",NA,"Morocco",NA,NA,NA,NA,NA,NA,NA,NA,"2804"
"137","273","Myrtaceae",2009,"Tunisia",NA,NA,NA,NA,NA,NA,NA,NA,"1288"
"138","274","Myrtaceae",NA,"Croatia",NA,NA,NA,NA,NA,NA,NA,NA,"1833"
"139","275","Myrtaceae",1996,"Divjake (Albania)",6.2,54,1,0,21,11,658.6,"1","1528"
"140","276","Myrtaceae",1996,"Elbasan (Albania)",6.2,54,1,1,19.5,10.1,1066,"123","1528"
"141","277","Myrtaceae",NA,"Croatia",NA,NA,NA,NA,NA,NA,NA,NA,"1833"
"142","278","Myrtaceae",1996,"Divjake (Albania)",6.2,54,1,0,21,11,658.6,"1","1528"
"143","279","Myrtaceae",1996,"Elbasan (Albania)",6.2,54,1,1,19.5,10.1,1066,"123","1528"
"144","280","Myrtaceae",2006,"Tunisia",NA,NA,NA,NA,NA,NA,NA,NA,"1288"
"145","281","Myrtaceae",2007,"Tunisia",NA,NA,NA,NA,NA,NA,NA,NA,"1288"
"146","282","Myrtaceae",1995,"Adriatic coast",NA,NA,NA,NA,NA,NA,NA,NA,"2522"
"147","283","Myrtaceae",NA,"Croatia",NA,NA,NA,NA,NA,NA,NA,NA,"1833"
"148","284","Myrtaceae",1996,"Divjake (Albania)",6.2,54,1,0,21,11,658.6,"1","1528"
"149","285","Myrtaceae",1996,"Elbasan (Albania)",6.2,54,1,1,19.5,10.1,1066,"123","1528"
"150","286","Myrtaceae",1995,"Jadran coast",NA,NA,NA,NA,NA,NA,NA,NA,"1833"
"151","287","Myrtaceae",NA,"Morocco",NA,NA,NA,NA,NA,NA,NA,NA,"2804"
"152","288","Myrtaceae",1987,"Mugla, Marmaris",5.4,205,1,1,24,14.3,1232.7,"7","3385"
"153","289","Myrtaceae",2006,"Tunisia",NA,NA,NA,NA,NA,NA,NA,NA,"1288"
"154","290","Myrtaceae",2007,"Tunisia",NA,NA,NA,NA,NA,NA,NA,NA,"1288"
"155","291","Myrtaceae",2006,"Tunisia",NA,NA,NA,NA,NA,NA,NA,NA,"1288"
"156","292","Myrtaceae",2007,"Tunisia",NA,NA,NA,NA,NA,NA,NA,NA,"1288"
"157","474","Asteraceae",2001,"Gurgaon, India",5,442,1,1,31.5,17.5,657,"217","3834"
"158","475","Asteraceae",2000,"Lucknow (India)",5,442,1,1,32,18.6,917.3,"123","3834"
"159","476","Asteraceae",2000,"Lucknow,India",5,442,1,1,32,18.6,917.3,"123","3834"
"160","477","Asteraceae",2001,"Gurgaon, India",5,442,1,1,31.5,17.5,657,"217","3834"
"161","478","Asteraceae",1997,"Northern,Italy",NA,NA,NA,NA,NA,NA,NA,NA,"2522"
"162","479","Asteraceae",2001,"Ogbomoso,Nigeria",10,1066,1,1,30,21,1076.3,"347","786"
"163","480","Asteraceae",NA,"plovdiv/Bulgaria",3.1,126,0,1,18.5,7.1,502,"164","1938"
"164","481","Asteraceae",NA,"plovdiv/Bulgaria",3.1,126,0,1,18.5,7.1,502,"164","1938"
"165","482","Asteraceae",NA,"plovdiv/Bulgaria",3.1,126,0,1,18.5,7.1,502,"164","1938"
"166","483","Asteraceae",2000,"Gurgaon, India",5,442,1,1,31.5,17.5,657,"217","3834"
"167","484","Asteraceae",2000,"Lucknow (India)",5,442,1,1,32,18.6,917.3,"123","3834"
"168","485","Asteraceae",2000,"Lucknow,India",5,442,1,1,32,18.6,917.3,"123","3834"
"169","486","Asteraceae",1997,"Northern,Italy",NA,NA,NA,NA,NA,NA,NA,NA,"2522"
"170","487","Asteraceae",2001,"Ogbomoso,Nigeria",10,1066,1,1,30,21,1076.3,"347","786"
"171","488","Asteraceae",NA,"plovdiv/Bulgaria",3.1,126,0,1,18.5,7.1,502,"164","1938"
"172","489","Asteraceae",NA,"plovdiv/Bulgaria",3.1,126,0,1,18.5,7.1,502,"164","1938"
"173","490","Asteraceae",NA,"plovdiv/Bulgaria",3.1,126,0,1,18.5,7.1,502,"164","1938"
"174","491","Asteraceae",NA,"plovdiv/Bulgaria",3.1,126,0,1,18.5,7.1,502,"164","1938"
"175","492","Asteraceae",NA,"plovdiv/Bulgaria",3.1,126,0,1,18.5,7.1,502,"164","1938"
"176","493","Asteraceae",NA,"plovdiv/Bulgaria",3.1,126,0,1,18.5,7.1,502,"164","1938"
"177","494","Asteraceae",NA,"plovdiv/Bulgaria",3.1,126,0,1,18.5,7.1,502,"164","1938"
"178","495","Asteraceae",NA,"plovdiv/Bulgaria",3.1,126,0,1,18.5,7.1,502,"164","1938"
"179","496","Asteraceae",2000,"Lucknow (India)",5,442,1,1,32,18.6,917.3,"123","3834"
